"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"274","195.3.146.96","2018-03-19","eni-69242a68","10.83.2.79",47221,7777,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"275","195.3.146.96","2018-03-19","eni-9d336f42","10.80.5.103",47221,8007,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"276","195.3.146.96","2018-03-19","eni-f534ea00","10.80.10.223",47221,7060,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"277","195.3.146.96","2018-03-19","eni-f23e6202","10.80.9.246",47221,10005,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"278","195.3.146.96","2018-03-19","eni-e1fff024","10.83.5.39",47221,5505,6,"2018-02-23","ACCEPT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"279","195.88.208.134","2018-03-19","eni-f534ea00","10.80.10.223",47964,3389,6,"2018-02-24","REJECT",4,2,"Malicious Host","RU","","55.7386016846,37.6068000793","3","Malicious Host"
"280","196.52.43.102","2018-03-19","eni-f534ea00","10.80.10.223",6712,5060,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"281","196.52.43.105","2018-03-19","eni-e0a7ef5b","10.83.0.184",6666,62078,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"282","196.52.43.114","2018-03-19","eni-9d336f42","10.80.5.103",6666,5000,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"283","196.52.43.117","2018-03-19","eni-f534ea00","10.80.10.223",6712,5351,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"284","196.52.43.118","2018-03-19","eni-9b81d59a","10.80.0.84",6666,995,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"285","196.52.43.126","2018-03-19","eni-4f4c1684","10.80.11.15",6666,44818,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"286","196.52.43.127","2018-03-19","eni-75e558b2","10.80.6.54",6712,161,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"287","196.52.43.129","2018-03-19","eni-e1fff024","10.83.5.39",19698,502,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"288","196.52.43.129","2018-03-19","eni-e001f15b","10.80.2.149",6712,5632,17,"2018-02-23","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"289","196.52.43.52","2018-03-19","eni-746177b9","10.80.9.242",6666,16010,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"290","196.52.43.55","2018-03-19","eni-f23e6202","10.80.9.246",6666,2001,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"291","196.52.43.62","2018-03-19","eni-4f4c1684","10.80.11.15",6666,11211,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"292","196.52.43.86","2018-03-19","eni-f534ea00","10.80.10.223",6666,5984,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"293","196.52.43.88","2018-03-19","eni-00eab5bb","10.83.2.133",6666,2160,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"294","196.52.43.94","2018-03-19","eni-c45cbc7f","10.80.2.202",6666,6001,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"295","196.52.43.94","2018-03-19","eni-746177b9","10.80.9.242",6712,123,17,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"296","196.52.43.94","2018-03-19","eni-69242a68","10.83.2.79",16948,990,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Edison","40.5186004639,-74.349899292","3","Malicious Host"
"297","198.143.155.138","2018-03-19","eni-f534ea00","10.80.10.223",60683,33152,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Chicago","41.8824996948,-87.6440963745","3","Malicious Host"
"298","198.143.155.138","2018-03-19","eni-e1fff024","10.83.5.39",56463,32967,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","US","Chicago","41.8824996948,-87.6440963745","3","Malicious Host"
"299","198.20.69.98","2018-03-19","eni-4f4c1684","10.80.11.15",46640,8834,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Chicago","41.8824996948,-87.6440963745","3","Malicious Host"
"300","200.73.113.102","2018-03-19","eni-6aa7c76b","10.80.1.159",54716,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","CL","Santiago","-33.4500007629,-70.6667022705","3","Malicious Host"
"301","201.213.18.67","2018-03-19","eni-f28fe32d","10.83.7.191",26797,23,6,"2018-02-24","REJECT",4,2,"Malicious Host","AR","Buenos Aires","-34.6506004333,-58.3821983337","3","Malicious Host"
